Rate Date,Currency,Rate Year,Rate Month,Buying Rate,Central Rate,Selling rate
12/9/2011,EURO,2011,December,208.747,209.4174,210.0877
2/19/2021,POUNDS STERLING,2021,February,530.5242,531.2241,531.924
3/15/2005,EURO,2005,March,176.4946,177.1638,177.8331
11/8/2019,EURO,2019,November,337.5301,338.0818,338.6335
9/28/2018,WAUA,2018,September,426.928,427.6271,428.3262
3/19/2012,US DOLLAR,2012,March,155.06,155.56,156.06
8/28/2018,US DOLLAR,2018,August,305.15,305.65,306.15
4/10/2019,EURO,2019,April,345.168,345.732,346.296
1/17/2013,POUNDS STERLING,2013,January,247.9697,248.7711,249.5724
8/20/2007,US DOLLAR,2007,August,124.05,124.55,125.05
4/11/2017,POUNDS STERLING,2017,April,379.5749,380.197,380.819
1/29/2004,EURO,2004,January,167.3109,167.9338,168.5567
11/18/2011,WAUA,2011,November,238.9466,239.725,240.5033
12/13/2012,WAUA,2012,December,237.0022,237.7678,238.5335
8/23/2010,POUNDS STERLING,2010,August,230.0421,230.8199,231.5977
5/23/2005,WAUA,2005,May,195.7598,196.5022,197.2447
8/24/2009,EURO,2009,August,214.1313,214.8477,215.564
5/9/2007,EURO,2007,May,169.8692,170.547,171.2249
9/23/2013,EURO,2013,September,209.2046,209.8805,210.5564
12/6/2017,WAUA,2017,December,432.646,433.3541,434.0622
5/25/2011,EURO,2011,May,214.8162,215.5201,216.224
1/7/2019,US DOLLAR,2019,January,305.9,306.4,306.9
10/17/2017,US DOLLAR,2017,October,304.55,305.05,305.55
4/21/2006,POUNDS STERLING,2006,April,224.4846,225.374,226.2634
4/7/2009,POUNDS STERLING,2009,April,212.4506,213.1842,213.9178
3/6/2018,WAUA,2018,March,441.3187,442.0427,442.7666
5/8/2006,EURO,2006,May,161.0812,161.7196,162.3579
3/17/2008,POUNDS STERLING,2008,March,231.9576,232.9598,233.9619
9/11/2015,EURO,2015,September,220.892,221.4555,222.019
1/25/2005,US DOLLAR,2005,January,131.86,132.36,132.86
11/22/2010,EURO,2010,November,202.5775,203.2623,203.9471
4/16/2012,WAUA,2012,April,238.0889,238.8584,239.6279
6/16/2016,US DOLLAR,2016,June,196.0,196.5,197.0
2/19/2010,WAUA,2010,February,226.0495,226.8147,227.5799
12/13/2018,POUNDS STERLING,2018,December,387.6671,388.3007,388.9344
9/8/2017,US DOLLAR,2017,September,304.95,305.45,305.95
7/14/2020,POUNDS STERLING,2020,July,451.368,451.9949,452.6218
8/30/2013,POUNDS STERLING,2013,August,239.8316,240.6064,241.3813
5/8/2012,WAUA,2012,May,237.9793,238.7482,239.5171
11/14/2011,WAUA,2011,November,237.5552,238.329,239.1028
9/23/2002,US DOLLAR,2002,September,125.0,125.5,126.0
3/10/2015,EURO,2015,March,210.5432,211.0803,211.6174
7/17/2019,POUNDS STERLING,2019,July,379.8675,380.4883,381.1091
3/22/2021,US DOLLAR,2021,March,379.0,379.5,380.0
12/7/2016,EURO,2016,December,326.6067,327.143,327.6793
1/15/2004,WAUA,2004,January,201.9694,202.7175,203.4655
11/5/2009,WAUA,2009,November,235.3869,236.1788,236.9706
12/19/2017,POUNDS STERLING,2017,December,408.1134,408.782,409.4506
10/30/2007,EURO,2007,October,173.9947,174.7144,175.4341
12/5/2019,US DOLLAR,2019,December,305.95,306.45,306.95
5/31/2016,POUNDS STERLING,2016,May,286.9636,287.6957,288.4277
1/19/2023,EURO,2023,January,492.0157,492.5569,493.0981
3/8/2005,US DOLLAR,2005,March,131.85,132.35,132.85
2/24/2023,EURO,2023,February,486.4891,487.018,487.5468
5/25/2006,POUNDS STERLING,2006,May,236.0066,236.9416,237.8767
8/11/2010,US DOLLAR,2010,August,147.64,148.14,148.64
7/11/2024,POUNDS STERLING,2024,July,2016.4965,2017.1429,2017.7893
8/12/2011,US DOLLAR,2011,August,149.75,150.25,150.75
11/6/2020,WAUA,2020,November,534.7618,535.4673,536.1728
11/3/2022,POUNDS STERLING,2022,November,493.1695,493.7313,494.2932
4/19/2024,US DOLLAR,2024,April,1149.66,1150.16,1150.66
1/13/2015,EURO,2015,January,196.9264,197.516,198.1056
8/22/2002,EURO,2002,August,121.1232,121.6116,122.1
6/3/2020,EURO,2020,June,403.02,403.5798,404.1395
10/18/2007,WAUA,2007,October,188.9824,189.7563,190.5302
